5681,Summer Wars,OZ a virtual world connected to the internet has become extremely popular worldwide as a spot for people to engage in a large variety of activities such as playing sports or shopping through avatars created and customized by the user. OZ also possesses a near impenetrable security due to its strong encryption ensuring that any personal data transmitted through the networks will be kept safe in order to protect those who use it. Because of its convenient applications the majority of society has become highly dependent on the simulated reality even going as far as entrusting the system with bringing back the unmanned asteroid explorer Arawashi. Kenji Koiso is a 17-year-old math genius and part-time OZ moderator who is invited by his crush Natsuki Shinohara on a summer trip. But unbeknownst to him this adventure requires him to act as her fiancé. Shortly after arriving at Natsuki's family's estate which is preparing for her great-grandmother's 90th birthday he receives a strange coded message on his cell phone from an unknown sender who challenges him to solve it. Kenji is able to crack the code but little does he know that his math expertise has just put Earth in great danger.,Sci-Fi;Comedy,2009-08-01,1,360868,253,382,8.16,https://cdn.myanimelist.net/images/anime/10/15796.jpg,https://myanimelist.net/anime/5681/Summer_Wars
721,Princess Tutu,In a fairy tale come to life the clumsy sweet and gentle Ahiru (Japanese for duck) seems like an unlikely protagonist. In reality Ahiru is just as magical as the talking cats and crocodiles that inhabit her town—for Ahiru really is a duck! Transformed by the mysterious Drosselmeyer into a human girl Ahiru soon learns the reason for her existence. Using her magical egg-shaped pendant Ahiru can transform into Princess Tutu—a beautiful and talented ballet dancer whose dances relieve people of the turmoil in their hearts. With her newfound ability Ahiru accepts the challenge of collecting the lost shards of her prince's heart for long ago he had shattered it in order to seal an evil raven away for all eternity. Princess Tutu is a tale of heroes and their struggle against fate. Their beliefs their feelings and ultimately their actions will determine whether this fairy tale can reach its happily ever after.,Comedy;Drama;Fantasy;Magic;Mystery;Romance,2002-08-16,38,110983,1010,380,8.16,https://cdn.myanimelist.net/images/anime/1145/93646.jpg,https://myanimelist.net/anime/721/Princess_Tutu
14513,Magi: The Labyrinth of Magic,Dispersed around the world there are several bizarre labyrinths hiding incredible treasures within them. These mysterious places known as Dungeons are said to be the work of Magi a class of rare magicians who also help people build their empires by guiding them to a dungeon. Djinns supernatural beings that rule over the labyrinths grant successful conquerors access to their immense power and choose them as potential king candidates to rule the world. Having spent life in isolation Aladdin a kind and young magician is eager to explore the world upon finally leaving his home behind. He begins his journey only accompanied by his mentor Ugo—a djinn that Aladdin can summon with his flute. However Aladdin soon becomes friends with the courageous Alibaba Saluja after causing the destruction of a local merchant's supply cart. In order to pay for the damages Alibaba suggests that they attempt to conquer the nearest dungeon taking the first step in an epic adventure that will decide the fate of the world itself.,Action;Adventure;Fantasy;Magic;Shounen,2012-10-07,25,599813,94,378,8.16,https://cdn.myanimelist.net/images/anime/11/42773.jpg,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic
18679,Kill la Kill,After the murder of her father Ryuuko Matoi has been wandering the land in search of his killer. Following her only lead—the missing half of his invention the Scissor Blade—she arrives at the prestigious Honnouji Academy a high school unlike any other. The academy is ruled by the imposing and cold-hearted student council president Satsuki Kiryuuin alongside her powerful underlings the Elite Four. In the school's brutally competitive hierarchy Satsuki bestows upon those at the top special clothes called Goku Uniforms which grant the wearer unique superhuman abilities. Thoroughly beaten in a fight against one of the students in uniform Ryuuko retreats to her razed home where she stumbles across Senketsu a rare and sentient Kamui or God Clothes. After coming into contact with Ryuuko's blood Senketsu awakens latching onto her and providing her with immense power. Now armed with Senketsu and the Scissor Blade Ryuuko makes a stand against the Elite Four hoping to reach Satsuki and uncover the culprit behind her father's murder once and for all.,Action;Comedy;Super Power;Ecchi;School,2013-10-04,24,980779,30,375,8.16,https://cdn.myanimelist.net/images/anime/8/75514.jpg,https://myanimelist.net/anime/18679/Kill_la_Kill
3701,Kaiba,In a world where memories exist in memory chips separate from the body death of the body no longer means death of the soul. It is possible for memories to be viewed altered and transferred between bodies. These memory chips are used by the rich to obtain eternal lives in carefully selected bodies while for the poor selling their own bodies and conserving their souls in the chips often become the only way to earn a living. An electrolytic cloud in the sky serves as a barrier between the heavens of the fortunate and the underworld of the destitute making this social division impregnable. One day a man named Kaiba wakes up in an empty room with no memories a mysterious hole in his chest and a locket holding the picture of an unknown woman. After escaping an attack and stumbling upon a decrepit village of underworld residents he begins his adventure across the different planets of this strange universe to find out more about his own identity and the woman he once knew. Through a journey of self-discovery and acceptance Kaiba weaves together tales of souls and spirits and explores the importance of memories.,Adventure;Mystery;Romance;Sci-Fi,2008-04-11,12,94833,1154,373,8.16,https://cdn.myanimelist.net/images/anime/7/13193.jpg,https://myanimelist.net/anime/3701/Kaiba
8425,Gosick,Kazuya Kujou is a foreign student at Saint Marguerite Academy a luxurious boarding school in the Southern European country of Sauville. Originally from Japan his jet-black hair and dark brown eyes cause his peers to shun him and give him the nickname Black Reaper based on a popular urban legend about the traveler who brings death in the spring. On a day like any other Kujou visits the school's extravagant library in search of ghost stories. However his focus soon changes as he becomes curious about a golden strand of hair on the stairs. The steps lead him to a large garden and a beautiful doll-like girl known as Victorique de Blois whose complex and imaginative foresight allows her to predict their futures now intertwined. With more mysteries quickly developing—including the appearance of a ghost ship and an alchemist with the power of transmutation—Victorique and Kujou bound by fate and their unique skills have no choice but to rely on each other.,Mystery;Historical;Drama;Romance,2011-01-08,24,366457,245,387,8.15,https://cdn.myanimelist.net/images/anime/11/27906.jpg,https://myanimelist.net/anime/8425/Gosick
2167,Clannad,Tomoya Okazaki is a delinquent who finds life dull and believes he'll never amount to anything. Along with his friend Youhei Sunohara he skips school and plans to waste his high school days away. One day while walking to school Tomoya passes a young girl muttering quietly to herself. Without warning she exclaims Anpan! (a popular Japanese food) which catches Tomoya's attention. He soon discovers the girl's name is Nagisa Furukawa and that she exclaims things she likes in order to motivate herself. Nagisa claims they are now friends but Tomoya walks away passing the encounter off as nothing. However Tomoya finds he is noticing Nagisa more and more around school. Eventually he concedes and befriends her. Tomoya learns Nagisa has been held back a year due to a severe illness and that her dream is to revive the school's drama club. Claiming he has nothing better to do he decides to help her achieve this goal along with the help of four other girls. As Tomoya spends more time with the girls he learns more about them and their problems. As he attempts to help each girl overcome her respective obstacle he begins to realize life isn't as dull as he once thought.,Comedy;Drama;Romance;School;Slice of Life;Supernatural,2007-10-05,23,888734,45,365,8.16,https://cdn.myanimelist.net/images/anime/1804/95033.jpg,https://myanimelist.net/anime/2167/Clannad
23283,Zankyou no Terror,Painted in red the word VON is all that is left behind after a terrorist attack on a nuclear facility in Japan. The government is shattered by their inability to act and the police are left frantically searching for ways to crack down the perpetrators. The public are clueless—until six months later a strange video makes its way onto the internet. In it two teenage boys who identify themselves only as Sphinx directly challenge the police threatening to cause destruction and mayhem across Tokyo. Unable to stop the mass panic quickly spreading through the city and desperate for any leads in their investigation the police struggle to act effectively against these terrorists with Detective Kenjirou Shibazaki caught in the middle of it all. Zankyou no Terror tells the story of Nine and Twelve the two boys behind the masked figures of Sphinx. They should not exist yet they stand strong in a world of deception and secrets while they make the city fall around them all in the hopes of burying their own tragic truth.,Mystery;Psychological;Thriller,2014-07-11,11,642866,84,363,8.17,https://cdn.myanimelist.net/images/anime/4/64447.jpg,https://myanimelist.net/anime/23283/Zankyou_no_Terror
239,Gankutsuou,In the year 5053 French aristocrats Viscount Albert de Morcerf and Baron Franz d'Epinay attend the festival of Carnival on the moon city of Luna. While Franz is just looking to have fun Albert is seeking something more to fill his life—but he finds more than he bargained for in The Count of Monte Cristo a mysterious and charming self-made nobleman who meets his gaze during an opera performance. Through a few twists and turns Albert befriends the Count and introduces him into French society. The Count however has more on his mind than just friendship he plots to finally unleash his vengeance on those who wronged him years earlier. Gankutsuou follows Albert and the Count's intertwined destinies and the ultimate price paid for enacting revenge.,Drama;Mystery;Sci-Fi;Supernatural;Thriller,2004-10-06,24,164454,671,357,8.17,https://cdn.myanimelist.net/images/anime/10/2235.jpg,https://myanimelist.net/anime/239/Gankutsuou
2025,Darker than Black: Kuro no Keiyakusha,It has been 10 years since Heaven's Gate appeared in South America and Hell's Gate appeared in Japan veiling the once familiar night sky with an oppressive skyscape. Their purposes unknown these Gates are spaces in which the very laws of physics are ignored. With the appearance of the Gates emerged Contractors who in exchange for their humanity are granted supernatural abilities. In the Japanese city surrounding Hell’s Gate Section 4 Chief Misaki Kirihara finds herself at odds with an infamous Contractor codenamed Hei. Called Black Reaper in the underground world Hei like his associates undertakes missions for the mysterious and ruthless Syndicate while slowly peeling back the dark layers covering a nefarious plot that threatens the very existence of Contractors. From the mind of Tensai Okamura comes a sci-fi thriller taking the form of a subtle exposé on a war in which political positions and justice have no sway—a war waged exclusively in the shadows.,Action;Sci-Fi;Mystery;Super Power,2007-04-06,25,656341,76,352,8.17,https://cdn.myanimelist.net/images/anime/5/19570.jpg,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha
35838,Shoujo Shuumatsu Ryokou,Amid the desolate remains of a once-thriving city only the rumbling of a motorbike breaks the cold winter silence. Its riders Chito and Yuuri are the last survivors in the war-torn city. Scavenging old military sites for food and parts the two girls explore the wastelands and speculate about the old world to pass the time. Chito and Yuuri each occasionally struggle with the looming solitude but when they have each other sharing the weight of being two of the last humans becomes a bit more bearable. Between Yuuri's clumsy excitement and Chito's calm composure their dark days get a little brighter with shooting practice new books and snowball fights on the frozen battlefield. Among a scenery of barren landscapes and deserted buildings Shoujo Shuumatsu Ryokou tells the uplifting tale of two girls and their quest to find hope in a bleak and dying world.,Adventure;Mystery;Sci-Fi;Slice of Life,2017-10-06,12,168220,665,348,8.18,https://cdn.myanimelist.net/images/anime/12/88321.jpg,https://myanimelist.net/anime/35838/Shoujo_Shuumatsu_Ryokou
1559,Shijou Saikyou no Deshi Kenichi,Weak Legs Kenichi Shirahama would rather spend his time reading self improvement books than fighting. However when he finally works up the courage to become strong and join his school's karate club he is coerced into fighting a bullying upperclassman who is intent on getting him kicked out of the club. He is about to give it all up until he falls for his mysterious new classmate Miu Furinji. In order to face this challenge he undergoes rigorous training at the dojo she lives at Ryouzanpaku. Some initial training by the masters there allow him to defeat his upperclassman however his fighting prowess brings him to the attention of the powerful gang of delinquents Ragnarok. Wishing to protect the things he loves and determined to have the strength to face the increasing adversity he must learn various martial arts from the dojo's resident masters taking Karate Muay Thai Ju Jitsu and Chinese Martial Arts and combining them to create his own fighting style!,Action;Comedy;Martial Arts;School;Shounen,2006-10-07,50,204209,528,346,8.18,https://cdn.myanimelist.net/images/anime/9/75515.jpg,https://myanimelist.net/anime/1559/Shijou_Saikyou_no_Deshi_Kenichi
